Name,Pos,Team,GP,G,A,PTS,Pts/G,PPG,PPA,GWG
Chase Costantino,D,Kingston Frontenacs,14,0,0,0,0,0,0,0
Tye Austin,G,Peterborough Petes,15,0,0,0,0,0,0,0
Mitchell Brooks,C,Kingston Frontenacs,15,0,0,0,0,0,0,0
Joe Ranger,G,Mississauga Steelheads,16,0,0,0,0,0,0,0
Nick Chenard,G,Owen Sound Attack,17,0,0,0,0,0,0,0
Andrew Oke,G,Saginaw Spirit,17,0,0,0,0,0,0,0
Jacob Oster,G,Guelph Storm,17,0,0,0,0,0,0,0
Owen Bennett,G,Guelph Storm,18,0,0,0,0,0,0,0
Tristan Lennox,G,Saginaw Spirit,18,0,0,0,0,0,0,0
Xavier Medina,G,Windsor Spitfires,18,0,0,0,0,0,0,0
Benjamin Gaudreau,G,Sarnia Sting,19,0,0,0,0,0,0,0
Pavel Cajan,G,Kitchener Rangers,21,0,0,0,0,0,0,0
Marco Costantini,G,Hamilton Bulldogs,23,0,0,0,0,0,0,0
Michael Simpson,G,Peterborough Petes,23,0,0,0,0,0,0,0
Samuel Ivanov,G,Soo Greyhounds,24,0,0,0,0,0,0,0
Roman Basran,G,Mississauga Steelheads,25,0,0,0,0,0,0,0
Nolan Lalonde,G,Erie Otters,26,0,0,0,0,0,0,0
Luke Cavallin,G,Flint Firebirds,27,0,0,0,0,0,0,0
Leevi Meriläinen,G,Kingston Frontenacs,28,0,0,0,0,0,0,0
Dylan Robinson,LW,Ottawa 67's,18,6,5,11,0.61,2,0,1
Simon Rose,D,North Bay Battalion,32,2,8,10,0.31,1,2,0
Marcus Gretz,D,Flint Firebirds,16,0,4,4,0.25,0,1,0
Kosta Manikis,RW,Sudbury Wolves,7,1,2,3,0.43,0,1,0
Alex Geci,C,Sarnia Sting,9,1,2,3,0.33,0,0,0
Cameron Snow,LW,Niagara IceDogs,11,1,2,3,0.27,0,0,0
Ethan Martin,C,Windsor Spitfires,4,1,1,2,0.5,0,0,0
Easton Cowan,C,London Knights,6,1,1,2,0.33,1,0,0
